STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,indic,Indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2018-09,,7.3,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2018-10,,7.6,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2018-11,,7.7,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2018-12,,7.5,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-01,,7.9,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-02,,7.8,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-03,,7.6,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-04,,7.4,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-05,,7.0,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-06,,6.9,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-07,,7.0,,,,,
dataflow,ESTAT:EI_LMHR_M(1.0),Unemployment rate (%) - monthly data,M,Monthly,PC_ACT,Percentage of population in the labour force,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),LM-UN-F-GT25,Unemployment according to ILO definition - over 25 years - females,EA20,Euro area – 20 countries (2023-2025),2019-08,,7.0,,,,,
