STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2018-09,,2.1,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2018-10,,2.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2018-11,,1.9,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2018-12,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-01,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-02,,1.5,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-03,,1.4,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-04,,1.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-05,,1.2,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-06,,1.3,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-07,,1.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-08,,1.0,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-09,,0.8,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-10,,0.7,,,,,
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,EA20,Euro area – 20 countries (2023-2025),2019-11,,1.0,,,,,
