Method,RMSE,MAE,NZ-MAPE (%),volume_tier,n_articles,zero_pct,Δ RMSE vs Naïve (%)
Naïve,8.6998,1.9352,88.46,Low  (≤ Q50),3995,76.0,0.0
MA-4,10.2645,2.5429,108.47,Low  (≤ Q50),3995,76.0,18.0
Seasonal MA,12.204,3.0339,104.0,Low  (≤ Q50),3995,76.0,40.3
Croston,16.3619,4.0861,107.18,Low  (≤ Q50),3995,76.0,88.1
LightGBM (baseline),8.1097,1.7474,71.19,Low  (≤ Q50),3995,76.0,-6.8
XGBoost (baseline),8.2186,1.7745,71.19,Low  (≤ Q50),3995,76.0,-5.5
RandomForest (baseline),8.1066,1.784,78.82,Low  (≤ Q50),3995,76.0,-6.8
LightGBM (macro),8.131,1.7429,70.45,Low  (≤ Q50),3995,76.0,-6.5
XGBoost (macro),8.3355,1.7991,71.18,Low  (≤ Q50),3995,76.0,-4.2
RandomForest (macro),8.1176,1.7841,78.51,Low  (≤ Q50),3995,76.0,-6.7
Naïve,1.2894,0.122,86.87,Medium  (Q50–Q90),3090,96.5,0.0
MA-4,1.4178,0.1353,87.91,Medium  (Q50–Q90),3090,96.5,10.0
Seasonal MA,2.9851,0.79,181.43,Medium  (Q50–Q90),3090,96.5,131.5
Croston,2.5382,1.2695,120.28,Medium  (Q50–Q90),3090,96.5,96.9
LightGBM (baseline),1.115,0.1008,60.22,Medium  (Q50–Q90),3090,96.5,-13.5
XGBoost (baseline),1.1607,0.103,56.8,Medium  (Q50–Q90),3090,96.5,-10.0
RandomForest (baseline),1.1715,0.1101,63.3,Medium  (Q50–Q90),3090,96.5,-9.1
LightGBM (macro),1.1348,0.0972,57.39,Medium  (Q50–Q90),3090,96.5,-12.0
XGBoost (macro),1.178,0.1093,57.91,Medium  (Q50–Q90),3090,96.5,-8.6
RandomForest (macro),1.1707,0.1064,63.9,Medium  (Q50–Q90),3090,96.5,-9.2
Naïve,7.346,1.5183,77.13,High  (> Q90),788,80.5,0.0
MA-4,8.1455,1.795,90.86,High  (> Q90),788,80.5,10.9
Seasonal MA,18.6754,9.2362,578.76,High  (> Q90),788,80.5,154.2
Croston,14.7594,7.9215,327.77,High  (> Q90),788,80.5,100.9
LightGBM (baseline),7.1539,1.438,57.91,High  (> Q90),788,80.5,-2.6
XGBoost (baseline),7.4162,1.4684,55.19,High  (> Q90),788,80.5,1.0
RandomForest (baseline),7.0456,1.4252,61.62,High  (> Q90),788,80.5,-4.1
LightGBM (macro),7.3258,1.4405,54.81,High  (> Q90),788,80.5,-0.3
XGBoost (macro),7.5663,1.5081,56.26,High  (> Q90),788,80.5,3.0
RandomForest (macro),7.0575,1.428,61.99,High  (> Q90),788,80.5,-3.9
